name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date
2011 Volkswagen Amarok 2H MY12 TDI400 4Mot Highline Silver 6 Speed Manual Utility,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2011-Volkswagen-Amarok/34019016,"$16,999","205,514 Kms",Manual,Diesel,Ute,20251107
2011 Volkswagen Amarok 2H MY12 TDI400 4Mot Highline Silver 6 Speed Manual Utility,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2011-Volkswagen-Amarok/34019016,"$16,999","205,514 Kms",Manual,Diesel,Ute,20251107
2011 Volkswagen Amarok 2H MY12 TDI400 4Mot Highline Silver 6 Speed Manual Utility,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2011-Volkswagen-Amarok/34019016,"$16,999","205,514 Kms",Manual,Diesel,Ute,20251107
2015 Volkswagen Amarok 2H MY15 TDI400 4Mot Trendline White 6 Speed Manual Cab Chassis,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2015-Volkswagen-Amarok/34054984,"$25,999","29,819 Kms",Manual,Diesel,Ute,20251107
2015 Volkswagen Amarok 2H MY15 TDI400 4Mot Trendline White 6 Speed Manual Cab Chassis,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2015-Volkswagen-Amarok/34054984,"$25,999","29,819 Kms",Manual,Diesel,Ute,20251107
2015 Volkswagen Amarok 2H MY15 TDI400 4Mot Trendline White 6 Speed Manual Cab Chassis,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2015-Volkswagen-Amarok/34054984,"$25,999","29,819 Kms",Manual,Diesel,Ute,20251107
2016 Volkswagen Amarok 2H MY16 TDI420 4MOTION Perm Core White 8 Speed Automatic Utility,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2016-Volkswagen-Amarok/34066696,"$11,999","344,112 Kms",Automatic,Diesel,Ute,20251107
2016 Volkswagen Amarok 2H MY16 TDI420 4MOTION Perm Core White 8 Speed Automatic Utility,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2016-Volkswagen-Amarok/34066696,"$11,999","344,112 Kms",Automatic,Diesel,Ute,20251107
2016 Volkswagen Amarok 2H MY16 TDI420 4MOTION Perm Core White 8 Speed Automatic Utility,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2016-Volkswagen-Amarok/34066696,"$11,999","344,112 Kms",Automatic,Diesel,Ute,20251107
2018 Volkswagen Amarok 2H MY18 TDI550 4MOTION Perm Dark Label White 8 Speed Automatic Utility,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2018-Volkswagen-Amarok/34047905,"$16,999","272,508 Kms",Automatic,Diesel,Ute,20251107
2018 Volkswagen Amarok 2H MY18 TDI550 4MOTION Perm Dark Label White 8 Speed Automatic Utility,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2018-Volkswagen-Amarok/34047905,"$16,999","272,508 Kms",Automatic,Diesel,Ute,20251107
